step,consensus,stability,entropy,truth_hashes_count
0,0.6572126917379282,0.6243520571510317,0.4301321903909251,0
1,0.698039218939896,0.6631372579929011,0.42284155581274313,0
2,0.5846893086241374,0.5554548431929305,0.36847911730946414,0
3,0.15532599371851574,0.14755969403258995,1.0,0
4,0.008089031614662234,0.007684580033929122,0.9207169587405263,0
5,0.3004663794000549,0.28544306043005213,0.988170416396974,0
6,0.6113876991735356,0.5808183142148589,0.44187223287861577,0
7,0.48769779944857927,0.4633129094761503,0.5614416189612353,0
8,0.19215492293120345,0.18254717678464327,0.5252395087987903,0
9,0.4159192761507411,0.395123312343204,0.7325279817698559,0
10,0.39036071509177783,0.3708426793371889,0.7394505462103999,0
11,0.4446856840606279,0.4224513998575965,0.5267372612015085,0
12,0.23459909683897673,0.22286914199702787,0.6294024696573189,0
13,0.4133268293381852,0.39266048787127594,0.621825969030391,0
14,0.44880328035925227,0.42636311634128965,0.6588188080273565,0
15,0.8694768103836942,0.8260029698645094,0.11915091353870642,0
16,0.035643955920356074,0.03386175812433827,1.0,0
17,0.7377673123679459,0.7008789467495485,0.23173449255027517,0
18,0.4434305892974194,0.4212590598325484,0.5158294500973809,0
19,0.1516547117873666,0.14407197619799825,1.0,0
20,0.7689108688598383,0.7304653254168463,0.37254641883776257,0
21,0.134438174158693,0.12771626545075834,0.8511799801726192,0
22,0.8545708044535446,0.8118422642308674,0.15322891102199704,0
23,0.5233903080315132,0.4972207926299375,0.6664382293338905,0
24,0.5013099250132766,0.4762444287626128,0.5962242993911168,0
25,0.3689659008523493,0.35051760580973185,0.667741924148979,0
26,0.8693007171728515,0.8258356813142089,0.13557797170017077,0
27,0.9445056386772854,0.8972803567434211,0.13976771193306642,0
28,0.8273958371141528,0.7860260452584451,0.15875534825759172,0
29,0.5870817771029223,0.5577276882477762,0.4954954728994852,0
30,0.15965366313390192,0.15167097997720683,0.9613704164107252,0
31,0.6903051267156617,0.6557898703798786,0.4294655975030936,0
32,0.04690936333877745,0.04456389517183858,1.0,0
33,0.46545660349507456,0.4421837733203208,0.3968446885709389,0
34,0.6792172824915786,0.6452564183669997,0.45224568248466485,0
35,0.39860633206178536,0.37867601545869606,0.8214148345422589,0
36,0.5637426358497287,0.5355555040572423,0.3890834700017729,0
37,0.777392798893087,0.7385231589484326,0.3153895502005562,0
38,0.7441072076724236,0.7069018472888023,0.17934986352127472,0
39,0.934551606553845,0.8878240262261526,0.11406972062320309,1
40,0.6602962150195121,0.6272814042685364,0.5098321119255287,1
41,0.030369690192461066,0.02885120568283801,0.741101971487689,1
42,0.7363061742619764,0.6994908655488775,0.41971192809541946,1
43,0.4627545665138629,0.4396168381881697,0.5572696247731361,1
44,0.7217857161064923,0.6856964303011677,0.31848410903237345,1
45,0.10970929185107015,0.10422382725851663,0.9970590281371179,1
46,0.5118223343523731,0.48623121763475446,0.503599149797018,1
47,0.5302097235921311,0.5036992374125245,0.4335895279740644,1
48,0.6687347336883409,0.6352979970039239,0.3895345559368563,1
49,0.8497676228940922,0.8072792417493876,0.14981378293370415,1
50,0.41589592993308544,0.39510113343643116,0.41605768819857,1
51,0.5935480451181492,0.5638706428622416,0.3429273878030755,1
52,0.3232365027029013,0.3070746775677562,0.922147870148143,1
53,0.6047060342720579,0.574470732558455,0.5396251426015112,1
54,0.5620089899531272,0.5339085404554709,0.4440789584421788,1
55,0.06293616356088017,0.059789355382836154,0.636480891568527,1
56,0.8496943939848869,0.8072096742856425,0.15459349525007574,1
57,0.40182239371321715,0.3817312740275563,0.6440266555908123,1
58,0.5331608658511591,0.5065028225586011,0.6529538846656823,1
59,0.12204073001854987,0.11593869351762237,0.8253491621474185,1
60,0.6156431130474856,0.5848609573951113,0.367591016055652,1
61,0.4664801290071593,0.4431561225568013,0.6649476450511878,1
62,0.9058910235865364,0.8605964724072095,0.10105216197664366,1
63,0.006169623825765348,0.005861142634477081,1.0,1
64,0.11964059925302221,0.1136585692903711,1.0,1
65,0.6205146721022959,0.5894889384971811,0.4997492119953379,1
66,0.8492657442607343,0.8068024570476976,0.12163051323857123,1
67,0.4040542033202399,0.3838514931542279,0.7194261964716322,1
68,0.9146000011982314,0.8688700011383198,0.09534744339339991,1
69,0.35181418639877793,0.33422347707883904,0.5578525572529699,1
70,0.28043143990495606,0.2664098679097082,0.5062355029458174,1
71,0.07369153722281921,0.07000696036167825,0.9849230143333979,1
72,0.57727326603237,0.5484096027307515,0.5356260161140598,1
73,0.4876241103526331,0.4632429048350014,0.4050946694705687,1
74,0.7806903010375318,0.7416557859856552,0.3357224606924887,1
75,0.14382438618578172,0.13663316687649263,1.0,1
76,0.16404249124992237,0.15584036668742623,0.9413710304391181,1
