step,coherence,ethical,symbolic,entropy
0,0.6433892401721948,0.6755587021808044,0.671934195551424,0.34384305552601346
1,0.9162046881227923,0.9620149225289317,0.8890450297329135,0.06886488902635628
2,0.6533673888288708,0.6860357582703143,0.6828362643881164,0.34471071795294755
3,0.5979767640166676,0.6278756022175008,0.6200790629418321,0.32926724153623116
4,0.5283149630956314,0.5547307112504128,0.5353347045242559,0.4494000231715435
5,0.5721329686204504,0.6007396170514728,0.5892013642932151,0.39945800344609417
6,0.6568820412244318,0.6897261432856533,0.6866298350763453,0.24926628097901002
7,0.8274807280742864,0.8688547644780006,0.8371813406534301,0.16600227113178265
8,0.7667715151966014,0.8051100909564313,0.7914780072013106,0.2795402376537063
9,0.706068021235365,0.7413714222971332,0.736981827196677,0.22939047185888267
10,0.6096124893442917,0.6400931138115061,0.6336859471215598,0.29239114709502556
11,0.4273905393346871,0.4487600663014214,0.4102221004061378,0.4381882981066231
12,0.8291261630290443,0.8705824711804964,0.8382996679060556,0.17040237186932505
13,0.6236634347675233,0.6548466065058993,0.6498357193503328,0.29987396163326124
14,0.5891360802730904,0.6185928842867449,0.6096117212024331,0.4577065558111691
15,0.588592999372464,0.6180226493410871,0.6089653029241867,0.40532032936938733
16,0.5574162268030666,0.5852870381432198,0.5712813965189579,0.5289950150448209
17,0.5736554564596106,0.602338229282591,0.5910426436072043,0.3552640413486471
18,0.8135982778197511,0.8542781917107386,0.8274970763484298,0.15049154549640936
19,0.5506895706904732,0.5782240492249967,0.5630249524050116,0.5328609344701293
20,0.8363276739004133,0.8781440575954338,0.8431213563792408,0.13826882347975297
21,0.791849883487876,0.8314423776622697,0.811417848296046,0.23651051606623283
22,0.661785395612288,0.6948746653929023,0.6918808027088772,0.42592929342199237
23,0.5350473932922102,0.5617997629568205,0.5436974769805961,0.36343805548508296
24,0.5541562201145622,0.5818640311202903,0.5672846539587099,0.4896862207297607
25,0.591086590382135,0.6206409199012416,0.6119301877800349,0.3750404782249629
26,0.589563904395168,0.6190420996149263,0.6101206808684696,0.4698556467193662
27,0.5757577184467274,0.6045456043690637,0.5935808929169728,0.3386816866354766
28,0.6897853863748965,0.7242746556936412,0.7208993241592361,0.3797649941376698
29,0.859606666899023,0.902587000243974,0.8579093655392406,0.12429667113709372
30,0.7954848128562674,0.8352590534990806,0.8141831855178098,0.19781414454496452
31,0.7057525246635531,0.7410401508967306,0.7366759342388598,0.2628544228081761
32,0.487162027012037,0.5115201283626387,0.48395804157874683,0.463715901134566
33,0.8052633589932237,0.8455265269428847,0.8214667780752196,0.20485887195777455
34,0.45829951444324896,0.48121449016541135,0.4480624148864393,0.5343952232660685
35,0.45596554125644834,0.4787638183192707,0.4451782088779885,0.6127192842268551
36,0.7583507941679384,0.7962683338763351,0.7844439189773291,0.18768677049097665
37,0.6520317136792488,0.6846332993632112,0.6813881597140166,0.24677126580151898
38,0.545077036819727,0.5723308886607132,0.5561089759799177,0.5503318499604931
39,0.5443043616117565,0.5715195796923442,0.5551550891291248,0.5739931963560577
40,0.6062379390780179,0.6365498360319187,0.6297605467588971,0.4825826455130486
41,0.6081373753939606,0.6385442441636585,0.6319721883536489,0.4506408313525337
42,0.4362739352711835,0.4580876320347426,0.42100958469374594,0.5245781166542852
43,0.8228121755176476,0.8639527842935298,0.8339744227738126,0.1361580039536728
44,0.6735108699320905,0.7071864134286949,0.7042365543410537,0.35145132927328204
45,0.6196387609286147,0.6506206989750454,0.6452429685628955,0.42301953732030523
46,0.7929046614492022,0.8325498945216622,0.8122235281356676,0.16313732992793553
47,0.6331486078187119,0.6648060382096473,0.6605493000891561,0.27646140154037696
48,0.40665914525432445,0.4269921025170406,0.38539659385755015,0.5899423878080448
