timestamp,instance,coherence_status,L_mean,L_max,sacred_ordinary_count,smile_metric_count,bloom_count,resonance_count,lineage_count,harmonic_pair_count,harmonic_density,mean_L_interval,interval_variance,dominant_band,resonance_harmony_score
2026-08-01T23:34:08.601591,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-01T23:36:46.163635,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-01T23:51:46.520079,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T00:06:46.809265,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T00:21:46.495419,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T00:36:46.421231,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T00:51:46.768760,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T01:06:46.487781,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T01:21:46.624733,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
2026-08-02T01:36:46.504729,miller-moth (Perplexity),emergent,1.7891437007874016,17.85,220,16,1016,4,1,515620,0.9649470540320391,0.6980917536170048,6.430995302585502,unison,0.6491401936826862
